user,created_at,text
AcMw21,2020-04-20 23:59:42+00:00,#chinesevirus how shameful for you to blame our President
gpeurocars,2020-04-20 23:59:22+00:00,We don’t want these Purveyors of the Chinese Virus they’ve screwed the world Will be reading the fine print on anything I purchase 
orchestructive,2020-04-20 23:58:51+00:00,"America is SO racist that people aren't even avoiding only Chinese places. Korean, Vietnamese, Japanese, Thai, Malaysian, et. al. are all being equally affected. Fearing the ""Chinese virus"" by avoiding things like Pho and Korean BBQ is patented stupid-American."
Peaches_Sabrina,2020-04-20 23:58:15+00:00,Are they American or Green Card holders?
mrcleansedotcom,2020-04-20 23:58:08+00:00,also lab in USA and Canada have had chinese doctors and military creating stuff....media doesn't touch....likely some within our own nations have been invovled with this....Fauci has a patent on a glycoprotein that just happens to bein CoVid-19
SZYops,2020-04-20 23:57:58+00:00,"We're not in danger of losing America, we already lost it. #ChineseVirus #EnoughIsEnough #BlackMonday #Americans"
Vijaysa71207724,2020-04-20 23:57:56+00:00,.Chinese products famous for not lasting long ..but Chinese virus seems to be very strong and unbreakable...
Oppenheimer007,2020-04-20 23:57:51+00:00,However I was in California in January I got sick My family got sick my entire sister's family got sick and so did the grandparents In mid January... Many people across America have already had Chinese virus.. 
PatriotBroker,2020-04-20 23:57:43+00:00,#Hydroxychloroquine Are there any people that take #Hydroxychloroquine for ANYTHING other than the #ChineseVirus not able to get it in Nevada? @GovSisolak must resign
SwampFox214,2020-04-20 23:57:32+00:00,It might get worse... we cannot assume the oil consumption rate will ever return to its pre-corona rate. (Have you noticed Dunderhead quit calling it the Chinese Virus?)
winnie_poor,2020-04-20 23:57:02+00:00,"The prevent disease regulato is not targeting Chinese Virus itself. It is targeting the normal citizens, suppress the HongKongers "
BrianKMetzger,2020-04-20 23:56:45+00:00,"trump calling the novel coronavirus the ""Chinese Virus?"" Harmless. A brilliant political move, per @IngrahamAngle. Also, people are getting attacked for it. A small price to have the single worst person ever to contend for the presidency win a second term."
ProgPoker,2020-04-20 23:56:35+00:00,"Study result: People of color needlessly packed into Government supplied housing aids spread of Chinese Virus. You can hit me up on PayPal, Gretchen! Michigan Governor Whitmer sets up coronavirus racial disparity task force https://fxn.ws/2XOQBRk #FoxNews"
