user,created_at,text
yarrajewel,2020-02-28 23:47:15+00:00,How can you possibly blame Pres.Trump for a Chinese virus ???
QemerAy,2020-02-28 23:39:50+00:00,The result of the world’s 70-year silence on China has been the virus #CoronaVirus #ChineseVirus that has spread all over the world. The Chinese are approaching their target. China has already declared war on the world through the virus.
dr_reasoner,2020-02-28 23:39:41+00:00,BBC News - Coronavirus: All closest passengers contacted after first NI case Travelling? Didn't I say the most effective way to stop the Chinese Virus from killing us all was to ban incoming travel &amp; products from China to Britain for 6 months
VERBAL_CHANCLA,2020-02-28 23:32:51+00:00,"An endless game of Wack A Mole to own the Orange Man. I’d say they could sink no lower, but I’ve read the comments of people saying Trump’s response to this Chinese virus, was just paving his way to his dictatorship. "
CounterSpeaker,2020-02-28 23:22:45+00:00,"And of course, if you call it the #ChineseVirus, you'll be called #racist and a #bigot. But the negative impact in certain Asian communities (outside of China) across the globe is disturbing."
crisis_homeless,2020-02-28 23:14:46+00:00,Trumps not to blame for a Chinese virus guys. Get a grip. This is a new low tbh
MikeyMacDee,2020-02-28 23:01:51+00:00,You think Trump should take more blame for a Chinese virus that started in China and that China failed to contain? 
Delafina777,2020-02-28 22:57:18+00:00,"Old white man in Sbux wearing a lot of turquoise & silver bracelets & a silver hamsa w a cross in it: “I love A lot of what Trump has done, but I don’t think he’s handling this Chinese virus thing.” He coughs, without covering his mouth. “He’s gotta start taking it seriously.”"
BenDove28564751,2020-02-28 22:56:49+00:00,"Being half Asian really suck at times. I've been asked recently if I'm Chinese or not and then right after if I have the ""Chinese virus"" Treatment like I'm 100% ""Chinese"" or 100% ""White"" by people in fear is frustrating. But if anyone needs an employee that gives 150% I'm it."
JaredLogan,2020-02-28 22:51:38+00:00,Mike Pence vs. a Chinese virus is going to be a hit with all of the viewers who don't know who Elizabeth Warren is (and don't wanna know!)
REDCO131,2020-02-28 22:51:15+00:00,ain't no Chinese virus gonna stop em
JLarryHanna,2020-02-28 22:37:53+00:00,"Back when Trump was implementing travel restrictions to China the Dems had no interest in a Chinese virus. They were too busy with impeaching 45. Since Trump has been handling the affairs of the country all this time, and doing it well, Dems are trying to play catchup. Dems fail."
taicho_winger,2020-02-28 22:37:24+00:00,"the suspected death rate of the new coronavirus patients is about 2% If the 70% of the worlds pupulation gets this virus, 0.02x 0.7x the worlds population may die because of this Chinese virus."
VotingFemaIe,2020-02-28 22:32:47+00:00,How Did Italy Become Singularly Inundated with this Chinese Virus? #MAGA #Trump #NRA #ncprimary #ncga #ncpol #ncsen #scpol
what_sara_said,2020-02-28 22:30:48+00:00,"You do not understand what causes less educated white people to vote or not, do you It’s not the populism. It’s the ethnic nationalism. And it’s all the GOP has. They are banking on a Chinese virus to drive their turnout and it will."
mrselfexpressio,2020-02-28 22:21:12+00:00,"No, they've been cheering for an outright collapse. The fact this hashtag is trending is proof the media is trying to spin a lab manufactured Chinese virus something Trump is at fault for"
Plubius1,2020-02-28 22:19:51+00:00,The Eyes of Darkness by Dean Koontz talks about a Weaponize Chinese virus. Many Republicans are hearing about the story and there is some conspiracy
RossMcevers,2020-02-28 22:16:28+00:00,Dont want to shut borders in fear of being called racist chinese virus 
vsvitrix,2020-02-28 22:15:17+00:00,LRT but hey the flu killed 16k and hospitalized over 200k people in the 2019-2020 flu season in the US alone but people aren't freaking out about that cause it isn't a spooky scary chinese virus
skeetbrown,2020-02-28 22:07:17+00:00,Saw a article about China giving Hunter 1.5billion to start a company. Now we have a Chinese virus. Just a coincidence I guess
HeroAtLarge323,2020-02-28 22:06:14+00:00,11) + 545.29 11/7/18 12) + 512.40 6/11/19 Thank you President Trump! It takes the media and Democrats hysteria over a Chinese virus to TEMPORARILY cause our markets to drop...just watch the REBOUND! BOOM!
Elucidatus,2020-02-28 21:47:21+00:00,"Governor Suzuki of Hokkaido issued a Declaration of Emergency from March 28 to 19 at a countermeasures meeting on the Chinese virus, saying the situation was getting more serious. We’re calling on locals to refrain from going out this weekend to prevent spread of the infection. "
AndrsDi19366806,2020-02-28 21:41:59+00:00,It's because is a Chinese Virus
gassy____,2020-02-28 21:16:17+00:00,yeah because trump definitely can stop fears of a Chinese virus from crashing stocks
StartledFeet,2020-02-28 21:08:42+00:00,Stock value should be directly proportional to that company’s fiscal performance. And not tied to some Chinese virus. I understand short term affects because of factories closing or businesses reducing production but the actual value of the stock should not be affected.
PaulMicRogers,2020-02-28 21:04:09+00:00,"Now that the Chinese virus is spreading to Countries that hate us like Iran, we can be sure it will come here. They will make sure of it. But it will not be an emergency unless people collapse and die and then get back up to bite the uninfected. Without zombies, it's just a flu."
chris22183908,2020-02-28 20:51:54+00:00,@ScottMorrisonMP and you worried about money and not that Chinese virus that stated there and not here but they where to slow stopping people from moving around the world
Paul97761479,2020-02-28 20:48:32+00:00,It would be deemed Racist closing the Border to a Chinese Virus. Now that joke would not surprise me if that was the excuse these days.
StarivingArtist,2020-02-28 20:40:09+00:00,"Hi. It’s not a “Chinese virus” or “Chinaman flu” or “named after a beer”, or anything to joke about. Jus sayin. Wash your hands."
passionnyla,2020-02-28 20:22:13+00:00,ANDERSON WITH HIS OVER BOTOXED FACE & BLACK (OH RACIST COMMENT) NEWS ANCHOR WERE ACTUAL JOURNALIST THEY WOULD BE POUNDING XI XI RED LIPS (SCOAT) & CHINA'S FAILURE TO ALERT THE WORLD OF ITS ORIGINATED CHINESE VIRUS BACK IN DECEMBER OF 2019! OR ACTUALLY SENDING A PLETHORA OF
Grandma_Boom,2020-02-28 20:18:40+00:00,"What Chinese virus? This is just a big ""hoax"" that the Democrats got the whole world to back them up with to take trump down. I know its true, because Hannity and Levin said so. Magats don't have anything to be concerned with."
meganbushway15,2020-02-28 20:12:33+00:00,What does a travel ban implemented against Muslim countries have to do w a Chinese virus?
meganbushway15,2020-02-28 20:11:18+00:00,You said the wall needed to be completed faster to stop COVID19. Did you forget that? This is Skeed trying to argue Mexicans are the real threat when it comes to the Chinese virus... 
Dik_Tat0r,2020-02-28 19:59:04+00:00,Mexican beer vs Chinese virus. We need a cage fight.
thedemorats,2020-02-28 19:45:18+00:00,We DemoRats have not been able to destroy Trump or #MakeAmericaWeaker with Trump as POTUS so we’re HOPEing a Chinese virus will work since the Chinese Tariffs didn’t Our WARPED #LiberalLunacy
AlexanderSGlass,2020-02-28 19:31:50+00:00,"So, Chinese virus research is our healthcare plan?"
danieltheman24,2020-02-28 19:16:01+00:00,Chinese virus will die must give time
Yuknothevibes,2020-02-28 19:09:13+00:00,"Lol mannn, gotta be cautious. Imagine dying from a chinese virus lol foh"
Petofisand,2020-02-28 19:07:16+00:00,Who can explain to me that why would these people scared when they believe that Allah knows everything and he protects Muslims ! Why would Allah harm if u follow one of his commend? Don’t be scared chinese virus is friend of yours and friends won’t hurt each other !
WatchPnw,2020-02-28 18:57:22+00:00,"what does this have to do with Trump, it's a Chinese Virus?"
Petofisand,2020-02-28 18:54:33+00:00,It’s Mekka saud Arabia ! Don’t be scared arabs Allah will protect you from chinese virus ! I heard friends don’t attack each other and beside it Allah is with you!
mle0908,2020-02-28 18:45:43+00:00,Hmm I don’t know...Blaming a Mexican beer for a Chinese virus seems pretty on-brand for Trumpies
MsCrystal6,2020-02-28 18:45:24+00:00,"Please shake as many hands as you can! Chinese virus hoax, be damned!"
anntracyart,2020-02-28 18:36:59+00:00,No. I’m not familiar w/ any past president constantly bragging about how he is the Best President ever is cuz look at the stock market. Now he is blaming the dive on CNN. Like an American TV station has control over the global market and a Chinese virus.
xdschoonx,2020-02-28 18:34:49+00:00,Trading $ES derivatives. Futures SP500.....Cannot work markets to much volitilty. Chinese virus. Need find a drug. Chinese testing drugs no restrictions like EU USA. Good for being Communist. Chinese system works.
BitcoinDood,2020-02-28 18:28:04+00:00,This #CoronaVirus is like being in a movie. @Crypto_Bitlord in China talks about weird virus. First I heard. News reports start talking about Chinese virus. Stock market crashes on fears. News agencies obsess about outbreak. I'm waiting for reported zombie sightings. 
hobbes365,2020-02-28 18:11:35+00:00,"I feel the need to grab a case at Albertsons and be obnoxious about it at checkout so everyone can hear me: ""what idiot thinks you can get a Chinese virus from a Mexican beer?!"" We must help right this wrong out of principle, Scott."
JonesFortinbras,2020-02-28 18:09:33+00:00,NEWS: Limbaugh admits exposure to man-made Chinese virus that dramatically increases victims’ susceptibility to believe and spread idiotic conspiracy theories.
annaxmufc,2020-02-28 18:05:13+00:00,How long till they find a bloody cure for the Chinese virus!!!
TSFPhotoCartoon,2020-02-28 17:58:51+00:00,@SpeakerPelosi @SenSchumer &amp; the Democrats R rooting 4 R death. The happiest day would be the day Americans die from the Chinese virus. It’s bad enough they R 4 infanticide. They hope we have deaths from the virus &amp; everyone loses their savings. VOTE ALL DEMOCRATS OUT!!!
