user,created_at,text
JoydeJoe,2020-01-30 23:53:18+00:00,write your will. you got that Chinese virus 
Teddyshouse2II,2020-01-30 23:37:15+00:00,"Do you trust @realDonaldTrump to protect our Children and Grandchildren, here in the United States from the Chinese Virus?"
JohnBro13002328,2020-01-30 23:23:57+00:00,Yep. STV just looking for one person with Chinese virus. It's as if it's their target. Pathetic
lewishone2213,2020-01-30 23:20:09+00:00,"Only arrow park hospital would be stupid enough to take someone who potentially has this Chinese virus straight off a from China and quarantine them , won’t catch me going there anytime soon"
notfalsenews,2020-01-30 23:18:13+00:00,We have to remember that SARS and this virus originated in the appalling live animal markets of China - yes it is a Chinese virus and yes the Chinese need to do something about these markets so the next virus is not a ‘Chinese’ virus
LoveLakeLifeKim,2020-01-30 23:16:29+00:00,"Appreciate that as an RN/House Sup. Everyone that has a sniffle is packing my ED. I’ve heard it called Corona, Canary, Cornea, many just Chinese virus. I love my job &amp; do my best to educate, but it’s a challenge sometimes."
bridgesforindy,2020-01-30 23:16:16+00:00,We will need the broad shoulders of the humanitarian catastrophe ( UN reporter ) of the English NHS to protect us from the global pandemic of the Chinese virus because our Scottish NHS is so absolutely terrible. At least it wont arrive by the ferry company with no ships
frasergoodwin,2020-01-30 23:15:26+00:00,Thank god we’ve got the opinion of the head of the farmers union to help us better understand the risk of a dangerous Chinese virus.
GunterFrancisco,2020-01-30 23:11:06+00:00,What makes this worse is Xenophobic America doesn’t categorize as a “Chinese virus” but an Asian virus 
andrewleeke,2020-01-30 23:09:28+00:00,"Wow, it's amazing how panicked everyone on @bbcquestiontime seems to be about the chinese virus outbreak. Calm down and do some research."
RendleGary,2020-01-30 23:08:28+00:00,"Chinese virus may be contagious. So let's fly 200 people back in a plane with air-con. If one has it , they all now have it. Then, it gets better, let's drop them off in southern England, then transport them 250 miles North by road."
clhubes,2020-01-30 23:06:09+00:00,"Americans will wear a mask to the airport because they think a mysterious Chinese virus will kill us all but won't get a flu shot because ""they never get sick!"""
JinfengZhong,2020-01-30 23:01:43+00:00,"Bovine spongiform encephalopathy came from England and spread to other countries,nobody calls it ""English virus""; Ebola virus came from congo, nobody calls it ""Congo's virus"". But why, now you call the new disease ""Chinese virus""? Double standard, evidently. Isn't it?"
JinfengZhong,2020-01-30 23:00:21+00:00,"Bovine spongiform encephalopathy came from England and spread to other countries,nobody calls it ""English virus""; Ebola virus came from congo, nobody calls it ""Congo's virus"". But why, now you call the new disease ""Chinese virus""? Double standard, evidently. Isn't it?"
JinfengZhong,2020-01-30 22:59:59+00:00,"Bovine spongiform encephalopathy came from England and spread to other countries,nobody calls it ""English virus""; Ebola virus came from congo, nobody calls it ""Congo's virus"". But why, now you call the new disease ""Chinese virus""? Double standard, evidently. Isn't it?"
fisherwang620,2020-01-30 22:59:13+00:00,Do you have some comment on SOCIALISM Chinese virus emergency?
mr12essex,2020-01-30 22:58:17+00:00,@LBC off to my local chinese just our daily outfits ! #chinesevirus 
_clarbohydrate,2020-01-30 22:48:20+00:00,"I’ve seen the virus referred to as the “Chinese virus” on multiple news sources. It’s just dangerous microagressions like that can lead to a bigger problem, like how Ebola was connected to African Americans."
sherylucky1,2020-01-30 22:47:01+00:00,"About the new chinese virus going around. One of my brothers is like Waters. One in 1,000 so darn healthy. Can go anywhere never catch that crap. But most people are average Joe's like you and me,. So let's stop anyone coming in. You can go but must wait to come back. "
MariaMouquinho,2020-01-30 22:46:37+00:00,This 'chinese virus' was patented in America in 2007?? https://blogfactory.co.uk/2020/01/30/this-chinese-virus-was-patented-in-america-in-2007/ via @Bumbleslumber
JinfengZhong,2020-01-30 22:45:49+00:00,"Bovine spongiform encephalopathy came from England and spread to other countries,nobody calls it ""English virus""; Ebola virus came from congo, nobody calls it ""Congo's virus"". But why, now you call the new disease ""Chinese virus""? Double standard, evidently. Isn't it?"
steveglenda,2020-01-30 22:39:17+00:00,"BBC lets scare munger about the Chinese virus that isn’t here, send fake news itcould be here, shame on you"
AgenciaAJN,2020-01-30 22:34:43+00:00,"#UAE confirms 4 cases of new Chinese virus, the first in #MiddleEast https://agenciaajn.com/noticia/emiratos-arabes-unidos-confirma-cuatro-casos-de-coronavirus-los-primeros-en-medio-oriente-134434"
JohnBaker1975,2020-01-30 22:30:55+00:00,Or a Chinese virus 
JohannMurdoch,2020-01-30 22:24:03+00:00,I agree the shit fest will hit soon because Boris now has to deal with reality and not slogans -Hauwei-HS2-the budget -Chinese virus -the real deal of Government-that can’t be blustered by slogans
KnightOfRetail,2020-01-30 22:22:17+00:00,Where did WHO state it as a “Chinese” virus? Did you give Zika versus a nationality ? It a new virus.
Barnesm_,2020-01-30 22:17:02+00:00,"No mention of the massive degree of racism in Australia over this virus, with the Murdock paper calling it 'The Chinese Virus' PANDAmonium."
_aloo_gobi,2020-01-30 22:16:06+00:00,"This thread... racism doesn’t just exist in kids, they learn it from what’s around them. Parents, media, all those people who are calling this a “Chinese virus” you guys all suck. "
JJFarrell451,2020-01-30 22:07:10+00:00,"I saw the headline WHO leader declares Chinese virus blah, blah, blah and automatically thought Pete Townshend said what!?..."
sanguis_malus,2020-01-30 22:01:51+00:00,Those chinese virus is spreading so fast and attacking not only lungs but brain as well.
LeggeCali,2020-01-30 21:59:33+00:00,I swear to god if I get this fricking Chinese virus and die ov it am not going to be happy!! 
DougKCarnivore,2020-01-30 21:57:13+00:00,way many more lives have been lost to abortion by choice than this Chinese virus... context matters.... 
cupgala,2020-01-30 21:46:54+00:00,"WHO has never referred this virus as Chinese virus, always as novel coronavirus. It should never be called Chinese virus, just as we don't call Zika virus Brazilian virus, never call Ebola virus as Congo virus."
luccceh,2020-01-30 21:46:38+00:00,"Done my tan so at least if I catch this Chinese virus, I’ll still look good."
rbfritzler,2020-01-30 21:36:11+00:00,I don’t think I have that Chinese virus but when I sneezed this morning it sounded like wuuu Han! And then I found this evidence. 
ceg1095830776,2020-01-30 21:35:44+00:00,"We dont call EBOLA 'Congo VIRUS', we dont call vache folle 'virus europeen' or 'virus francais', of course we dont call corona virus 'Chinese Virus'. but i think you r in very very sicking. shame on you , racist."
AwannabePu,2020-01-30 21:32:30+00:00,"I've read ""virus"" instead of ""various"". It becomes more difficult to think about seduction as the Chinese virus keeps spreading. We'll have to forget about approaching girls as soon as the disease reaches the Chinese level in our countries."
eloarefab,2020-01-30 21:15:38+00:00,"Tim.....corona virus originated in China, the majority of those affected are Chinese. It's a Chinese virus. Simple."
aboisatypo,2020-01-30 21:01:43+00:00,"honestly. people out here. we all breathe the same air ok. we all the same cell. get over yourself, this isn’t a “Chinese virus”. issa virus virus"
dprmichelle,2020-01-30 20:58:31+00:00,The corona virus is once again giving racists a “reason” to be racist and xenophobic. This is not a “Chinese virus.” It is a virus that is killing people all over the world. Viruses don’t have a race.
360CNN,2020-01-30 20:58:05+00:00,"Why would Zionists in Israel, US Pentagon release the mystery Chinese Virus? 1) To gauge how effective Chinese virologists can combat it 2) To demonize Chinese people and Nation 3) To slow down China's juggernaut steller economy 4) To push manufacturing into leaving China @MSNBC"
houssam_007,2020-01-30 20:57:10+00:00,11 fact you should know about coronavirus and how to protect yourself ! #coronavirus #CoronavirusOutbreak #chinesevirus Show More :
Mehmetvefadag,2020-01-30 20:52:36+00:00,Almighty Allah keep South AFRICA safe from this evil Chinese virus
savgalriri,2020-01-30 20:47:23+00:00,"white girl: omG! An asIAn persOn coUghed!! chinese virus gon Get me!! )): asian folks: um, that’s racist white girl: it’s noT my fauLT u eat yuCkY food!! WhY canT u JUST eAT norMaL fooD!! :P I’m not racist!! I love sushi &lt;3"
Mehmetvefadag,2020-01-30 20:45:39+00:00,We pray this killer Chinese virus don't visit South Africa...otherwise we will collapse...
vicheth24116667,2020-01-30 20:44:33+00:00,Stopping Chinese virus imports is bad for economy????? Totally agreed Hun Sen is the world most stupid minister!! 
PeteCormack,2020-01-30 20:43:47+00:00,Peter what the F#ck have we come to maybe this Chinese virus is a sign to say Eat veg and chicken
TerenceTerrier,2020-01-30 20:36:26+00:00,Can't be too careful wiv dat Chinese virus on da loose. It gonna be like dat TV programme Survivors wot mum told me abowt. #keepfits
JWEZEE,2020-01-30 20:30:36+00:00,"I wanna feel sorry right now for the chinese on this #Chinesevirus issue,b ut alot of them are racist, matter of fact a lot of Asian countries are! "
may252011,2020-01-30 20:30:10+00:00,Conservative Radio Host Michael Savage Wants The ‘Coronavirus’ To Infect AOC: Send Her Animals From Chinese Virus Market This guy is disgusting 
Tslammer4000,2020-01-30 20:27:56+00:00,For those of you who work in a professional setting. Introduce yourself or greet from a 6 foot distance and client is 70% less likely to reach out for a hand shake.. keep your hands to your self and don’t get the dirty Chinese virus.
ForcedToTwitt,2020-01-30 20:25:27+00:00,"I asked The Knack what they thought of the Chinese virus, they just said: https://youtu.be/g1T71PGd-J0 I'll get my coat"
HeiressMommy,2020-01-30 20:06:44+00:00,@SecretaryRoss How dare you? Time to investigate as to the very real possibility you are stopping our USA GOVERNMENT from addressing this potential world epidemic. You are an idiot - Coronavirus is NOT a “Chinese virus”!!! #WilburRossMustBeFired
topgooner100,2020-01-30 20:06:44+00:00,Yup Wendy has that Chinese virus thing #Emmerdale
mandycraggs1,2020-01-30 19:57:03+00:00,I will NOT be getting any Chinese virus!!! Steer clear you jerks!!! 
ikvecom,2020-01-30 19:52:37+00:00,"Today, at the beginning of the world, there is the Chinese virus trouble. Everyone should be informed and take precautions. We @coranavirus team As we will continue to inform people. We look forward to your support. #WuhanChina #Wuhan #coronavirues #chinaVirus"
tripledune,2020-01-30 19:51:13+00:00,why the mask? she got the chinese virus or what
TheSNFD,2020-01-30 19:41:11+00:00,We trust you more than Fake Chinese virus ....
CharlieHudson2,2020-01-30 19:40:32+00:00,I’m actually worrying that I have this Chinese virus. I’m so ill 
CarolineCreator,2020-01-30 19:37:58+00:00,"If they were, we would not know for certain for a while. I believe the chinese virus is a cover for their financial woes. They are toast. Imagine a world where we have no debt, free energy, health and wonder. Banks must have reserves against which to loan. They dont. Already bust"
WestHamRambles,2020-01-30 19:28:09+00:00,"God: I'll cut you a deal, you can win the Premier League at a canter, but you'll all the die of some dodgy Chinese virus. Scousers: Dat's sound la'. "
globaltimesnews,2020-01-30 19:20:02+00:00,"More than 46,000 Chinese have signed a petition on @Change requiring Australian media @dailytelegraph and @theheraldsun to apologize for ""race discrimination."" The tabloids labeled the novel coronavirus as ""Chinese virus"" and hyped xenophobia sentiments. http://bit.ly/38W1XFp"
bitcashio,2020-01-30 19:17:51+00:00,"it is not going to happen, it's still basically a chinese virus and not a very deadly one at that... until it mutates and turns everyone into ZOMBIES"
GrannySeniors,2020-01-30 19:13:25+00:00,Why don't you both be the greeters at the airports for these possible Chinese virus carriers. 
EurekaStockade3,2020-01-30 19:12:14+00:00,Jan was a busy month for the Globalist IllumiNazis Fake Impeachment Fake Killing of Soleimani Fake Iranian missile strikes Fake Chinese virus Fake helicopter crash Israeli Deal New NAFTA Deal Brexit #qanon
robertdarby6001,2020-01-30 19:05:15+00:00,CDC Confirms First Case Of Person-to-Person Transfer of Deadly Chinese Virus Inside USA 
CeriCollins,2020-01-30 19:03:28+00:00,Anyone got any of that Chinese virus knocking round please? 
TCMaefield,2020-01-30 18:54:11+00:00,New Israeli Masks Could Help Stop Deadly Chinese Virus | United with Israel 
EirikrHinnRaudi,2020-01-30 18:53:46+00:00,>Chinese Virus &gt;Chinese people &gt;Is cautious towards Chinese people who came here from China &gt;Is then called racist for being scared for my own health and well being 
