user,created_at,text
banalchemy,2020-03-30 23:59:59+00:00,#CNN stands for: Communist News Network #ChineseVirus #COVID19 #CommunistChina https://twitter.com/RealJamesWoods/status/1244740142079725569
RiQ_Grimes,2020-03-30 23:59:56+00:00,"Trump colluded with Russia, abortion is healthcare and it's racist to call the coronavirus ""chinese virus"". What would we do without libtards? "
sandhu_jot19,2020-03-30 23:59:51+00:00,Everyone gonna die #ChineseVirus #Covid_19 #CoronaVirusUpdates #StayHome #StayStrong #Canada
JoyceSchimenti,2020-03-30 23:59:50+00:00,"Sen Cotton, the World Health Organization requests that COVID19 not be referred to as the Chinese virus as it is inaccurate and stigmatizing. Asian Americans are being targeted as a result. Words matter. Arkansans need you to demonstrate leadership. #arpx"
Georgie82807871,2020-03-30 23:59:41+00:00,Because it’s a CHINESE VIRUS.
Resister19681,2020-03-30 23:59:41+00:00,"A suspect in Midland, TX stabbed a 2 yr old & 6 yr old because he thought they were Chinese & spreading Coronavirus. Tell me again how @realDonaldTrump calling it the #ChineseVirus isn't racist! #UnfitToBePresident #COVID19 #RacistInChief"
kathychi76,2020-03-30 23:59:32+00:00,@DavidMuir I am surprised you dont address the negative bigotry towards Asian. That is happening right now. Due to the president calling it the Chinese virus.
dralanhamilton,2020-03-30 23:59:24+00:00,"This is the ENEMY we face... That, combined with the dishonesty and hiding the real impact of the this Chinese virus... "
Rex_is_Lex,2020-03-30 23:59:16+00:00,Twitter Removes Jair Bolsonaro's Tweets About Chinese Virus 
SaberVegeta,2020-03-30 23:59:09+00:00,How do we know the deaths were due to the Chinese virus and not some other underlying factor? 
alice85336680,2020-03-30 23:58:58+00:00,chinese virus fuck china chinese virus 
CarolynClark16,2020-03-30 23:58:48+00:00,"In the last few days, the President finally stopped calling it the Chinese virus. @ABC -"
linda33678828,2020-03-30 23:58:35+00:00,"But you support killing babies, studying sun tan lotions funding the Kennedy center and emissions that the demonrats snuck into this bill!!! They should cure the Chinese virus quickly you are brain dead lady!"
Vin0vine,2020-03-30 23:58:30+00:00,"I don't care who you voted for, your parentage has no significance, and the leader of the US repeatedly calling it a Chinese virus instead of it's scientific name is a direct link to perpetuating beliefs of xenophobia... Good thing he's never done that. "
BlutsMcgee,2020-03-30 23:58:24+00:00,i remember this Chinese virus tweet from Nancy just think how many Americans died because Nancy had to pass out peachmint pens
Georgie82807871,2020-03-30 23:58:14+00:00,it’s A CHINESE VIRUS. CHINESE VIRUS. CHINESE VIRUS.
M1Seamus,2020-03-30 23:58:11+00:00,"Hey maxine show the clip where the potus said the chinese virus was a hoax. Once again, when Americans needs you to be a decent, human being and humanitarian leader you're incapable to do so. Its sickening. At times like this you should just go away as we have a problem here."
BlobOfJam,2020-03-30 23:58:07+00:00,"from now on its not the chinese virus its the american virus. we are way better at making a pandemic, just look at the numbers baby number 1 good thing we dont have a leader to help in this trying time"
AbhinavK07,2020-03-30 23:57:52+00:00,Hindu temples are donating money for PM's COVID-19 fund. While jihadi Islamic groups are spreading the #ChineseVirus from Tamil Nadu to Delhi. We are dealing with two pandemics. #Nizamuddin #Quaranavirus is as dangerous as #Coronavirus
MariePVilla,2020-03-30 23:57:48+00:00,Isn’t France the country that was setting churches on fire? Now they’re blaming the churches for the spread of the Chinese virus 
M1Seamus,2020-03-30 23:57:44+00:00,"Hey maxine show the clip where the potus said the chinese virus was a hoax. Once again, when Americans needs you to be a decent, human being and humanitarian leader you're incapable to do so. Its sickening. At times like this you should just go away as we have a problem here."
BrasherShane,2020-03-30 23:57:37+00:00,I've heard that every heart attack and other deaths are being labeled as Chinese virus!
Trailbl16797622,2020-03-30 23:57:29+00:00,The Chinese govt transfers more Chinese to the Uyghur region; the Uyghurs to inner parts of China as slave laborers while the #ChineseVirus is spreading; gives Uyghur lands to the Chinese. China made the Uyghurs homeless in the natural resource rich land https://www.facebook.com/1402610213/posts/10222122894687020/?d=n
RaphaelTiriel,2020-03-30 23:57:24+00:00,And what does this have to do with the Chinese virus? How is this related to that?
jasontaylor0773,2020-03-30 23:57:12+00:00,"Tom Nichols, cocksucker extraordinaire. Good job Tom. #ChineseVirus"
RblSports,2020-03-30 23:57:09+00:00,"""What did you do in the Great (Not) Chinese Virus War, Daddy?"" ""I was a Pilot Test""."
NsSuthakaran,2020-03-30 23:57:08+00:00,#china is here to help #UnitedKingdom Jokers #ChinaLiedPeopleDie #ChinaLiedPeopleDied #ChineseVirus @WIONews
yogendrapal72,2020-03-30 23:57:07+00:00,Latest on #ChineseVirus19 Total : 783910 Died : 37775 Recovered: 165005 #coronavirus #ChineseVirus19 #CoronaOutbreak #Wuhan #China #COVID19 #India #COVID2019 #COVID #CoronaVirusUpdate #ChineseVirus #WuhanVirus #CoronaVillains
spikethebhunter,2020-03-30 23:57:02+00:00,"Everybody was calling it Corona or COVID19. This idea that you just started calling it that because ""ThATs WUr iT CaME FroM"" is total bullshit. The only reason you're calling it #ChineseVirus is because Cheeto deflected his part of the blame onto China (who I know isn't innocent)"
spikethebhunter,2020-03-30 23:57:01+00:00,Alright look. I know the virus comes from China. Wuhan to be exact. If I had any faith that was why you were calling it The #ChineseVirus I would have zero qualms with it. But here's the fuckin thing y'all... THE VIRUS ALREADY HAD TWO GOD DAMN NAMES!
CarlosP34382705,2020-03-30 23:57:00+00:00,TWISTED REPUBLIC OF CHINESE VIRUS 
levoneeight,2020-03-30 23:56:59+00:00,"This is enough to conclude that this animal market was used as a distraction by the Chinese Govt to conceal it's hazardous bio weapon. Now that they have bought everything under control , the market has opened. Market has no connection with the epidemic or chinese virus."
M1Seamus,2020-03-30 23:56:58+00:00,"Hey maxine show the clip where the potus said the chinese virus was a hoax. Once again, when Americans needs you to be a decent, human being and humanitarian leader you're incapable to do so. Its sickening. At times like this you should just go away as we have a problem here."
Nishant31226692,2020-03-30 23:56:56+00:00,#Italia #Itlay #America #21daylockdown #ImranKhan #IndiaFightsCOVID19 #PMCaresFunds #USA #CoronavirusOutbreak #Germany #Europe #Hungary #Coronavirustruth I requests all #HelpFightCorona and let us put this #ChineseVirus #pandemic to an End #PandemicCovid19 #ChineseBioterrorism
TRUMP4EVAMAGA,2020-03-30 23:56:56+00:00,Awesome! Beautiful! #USNS Mercy Thank you Mr President! The hardest working President ever! For ALL American People! BEST PRESIDENT EVER ! He is even better than best in CRISIS! #ChineseVirus 
JiltedMaggid,2020-03-30 23:56:54+00:00,"Absolutely, Yamiche encouraged people to go out for testing against CDC guidelines and mocked the lockdown to maintain social distancing. These states have coat Americans there lives and have made this Chinese virus worse plague here in USA. #LockUpYamicheNow"
SallyGunner0331,2020-03-30 23:56:47+00:00,I am not one to believe in Karma. With that said... #ChineseVirus #Covid_19 #WuhanVirus
IRCA_JA,2020-03-30 23:56:43+00:00,"I already started to check the goods I buy! Made in China, Nope! Tha'nk you! The world must give China a lesson! Eat what is normal to eat! Hundreds years ago they also gave plague to the world wiped half of the Earth's population! #BoycottChina #ChineseBioterrorism #ChineseVirus"
EmmiRo65,2020-03-30 23:56:38+00:00,"If the Chinese virus is not an appropriate name for Covid19, what about the Wuhan virus? God help those people there and everywhere that have been affected by this - both physically and financially."
M1Seamus,2020-03-30 23:56:31+00:00,"Hey maxine show the clip where the potus said the chinese virus was a hoax. Once again, when Americans needs you to be a decent, human being and humanitarian leader you're incapable to do so. Its sickening. At times like this you should just go away as we have a problem here."
Darkkni78904193,2020-03-30 23:56:25+00:00,Chinese virus Muslims beware China wants to kill us 
murthymaharaj,2020-03-30 23:56:22+00:00,Corona Is a chinese Virus....Came now....But india ka problem alag hee hai...It's Virus C It's Virum M from long long time...
harv234no,2020-03-30 23:56:11+00:00,"You can have as many emergency numbers you like, nothing can stop this type of thing. Domestic violence will probably kill more under 40s during this lockdown than the Chinese Virus."
American3333,2020-03-30 23:55:53+00:00,"Making masks, to help save lives? What is your contribution? THIS is CNN #ChineseNewsNetwork #ChineseVirus"
M1Seamus,2020-03-30 23:55:45+00:00,"Hey maxine show the clip where the potus said the chinese virus was a hoax. Once again, when Americans needs you to be a decent, human being and humanitarian leader you're incapable to do so. Its sickening. At times like this you should just go away as we have a problem here."
newstouse,2020-03-30 23:55:43+00:00,How is this guy still in office?? #Virginia #blackface #KKK #ChineseVirus 
refmarc,2020-03-30 23:55:42+00:00,"He's making masks for people to ward off the Chinese virus what are you doing besides buffing your boyfriends knob? Maybe instead of acting like a 13 year old girl you can start acting like a man, do something besides bitch and whine on the computer. ""Chop wood or carry water!"""
groovemkr711,2020-03-30 23:55:40+00:00,If AG Barr did a little investigating there's probably some Dems connected to China on this one!! #ChinaCollusion #ChineseVirus
RLTConstruction,2020-03-30 23:55:36+00:00,I deff wouldn't be sad if you tested positive for the Chinese virus.
tommy3jn,2020-03-30 23:55:32+00:00,"So while you sit on your pedestal thinking you are better than some guy making over 50,000 masks plus needed medical supplies to help America in this Chinese virus era, what have you done? I get it your job by being low brow to those helping in this pandemic. You’re a disgrace"
StarmanUSA,2020-03-30 23:55:18+00:00,"Bodies piled up into trucks from the hospital on 168th street in #Manhattan, stay home so we can stop piling up loved ones like sacks of meat. This is insane and truly sad This is unimaginable, worst of my nightmares #StayAtHome #NYC #ChineseVirus #COVID19"
YourDramaMama,2020-03-30 23:55:17+00:00,Shipments of produce that could be contaminated with the #ChineseVirus packed with Meth. This whole damn thing is one big #ThreeRingCircusSideshow
9981yew,2020-03-30 23:55:16+00:00,Seen in my neighbourhood! #CanadaCovid19 #CanadaLockdown #canada #coronavirus #WuhanCoronavius #ChineseVirus #Coronavirustruth
EhRadioCanada,2020-03-30 23:55:09+00:00,The Links to the Chinese Virus that most likely actually came from Canada 
BordenPreston,2020-03-30 23:55:01+00:00,Why is the Chinese virus worse in dems cities? 
paulajarvis69,2020-03-30 23:55:00+00:00,"Sorry, Wanda. Trump at no time suggested that anyone ingest fish tank cleaner as a ""precaution"" in regards to the #ChineseVirus That's on you."
tonyspam,2020-03-30 23:55:00+00:00,#First Amendment Group FIRE: Colleges Can‘t Ban Use of ‘Chinese Virus‘ https://www.breitbart.com/tech/2020/03/30/first-amendment-group-fire-colleges-cant-ban-use-of-chinese-virus/ via @BreitbartNews
unclepaulieyor,2020-03-30 23:54:55+00:00,The Chinese values economy than human life. #CoronaUpdate #ChineseVirus #ChinaLiedPeopleDied
gsamu53,2020-03-30 23:54:37+00:00, Texas Tech Prof. Would 'Reconsider' Atheism if Donald Trump Dies of Chinese Virus 
JiltedMaggid,2020-03-30 23:54:34+00:00,She really needs to be locked up for seditious libel against the United States and misinformation defending the Chinese virus over American lives. #LockUpYamicheNow
TerCullen,2020-03-30 23:54:27+00:00,He should be fired. Texas Tech Prof. Would ‘Reconsider’ Atheism if Donald Trump Dies of Chinese Virus 
ticketmil,2020-03-30 23:54:22+00:00,Chinese virus
EhRadioCanada,2020-03-30 23:54:20+00:00,Just in case Canadians were NOT paying Attention EHR 657 Morning moment Chinese virus or is it Canadian? Jan 29 2020 https://www.spreaker.com/episode/22177638
first_cynic,2020-03-30 23:54:16+00:00,Can you say that someone who got a bullet to the back of the head or a lethal injection died of the Chinese Virus?
IzabelaStrauss,2020-03-30 23:54:09+00:00,Thanks Mr. President @realDonaldTrump and the United States of America for cleaning up the mess of the chinese virus with technology.
BabaYaga151,2020-03-30 23:54:08+00:00,"fake. news. panic. porn. Profiting, ratings spikes & personality recognition directly the result of the uptick in spreading heightened fear regarding the Chinese Virus. Peddling in fear tactics and misinformation to cause a specific negative outcome."
honornc,2020-03-30 23:53:59+00:00,BREAKING: Another casualty of the Chinese virus: Millions of husbands are seeing their wife's true hair color for the 1st time spanning decades b/c salon employees are not deemed essential. Dedicated to all salon workers out of work &amp; husbands who don't give a sh&amp;t. 
InevitableDr,2020-03-30 23:53:21+00:00,Taiwan is a country Taiwan has done great in containing the virus #Taiwan #ChineseVirus #WuhanVirus #ChinaLiesPeopleDie
bobeames4,2020-03-30 23:53:20+00:00,What a total scumbag. This 80y.o. Skunk is positioned perfectly to be taken out by Chinese virus. Poetic justice.
fAcTsMaTeR,2020-03-30 23:53:18+00:00,I'm going to buy a MyPillow when this Chinese Virus is put down. 
sadir_Palwan,2020-03-30 23:53:15+00:00,"Two poor dogs are taken by force by Chinese police. They will most likely be killed. Evil Communist #Chinese regime doesn’t respect any rights of human &amp; animals. It spread #ChineseVirus to the world, building #ConcentrationsCamps &amp; enslaving #Uyghurs."
tweetingbjoe,2020-03-30 23:53:09+00:00,Hey everyone go check out the new website...chinesevirus.gov
InevitableDr,2020-03-30 23:53:09+00:00,Taiwan is a country Taiwan has done great in containing the virus #Taiwan #ChineseVirus #WuhanVirus #ChinaLiesPeopleDie
TheDannyCage,2020-03-30 23:52:43+00:00,Anybody who ever called it the Chinese Virus is an idiot. Anyone who still calls it that should have their junk slammed in a drawer.
Lbstrdvr6,2020-03-30 23:52:32+00:00,"Umm, excuse me genius, but less than 2 weeks prior WHO was advising that the Chinese virus could NOT he transmitted person to person..."
Anne_2019,2020-03-30 23:52:16+00:00,exactly! #covid19 #coronavirus #chinavirus #ChinaLiedPeopleDied #ChineseVirus
