user,created_at,text
SkippyIsNuts,2020-04-20 23:59:59+00:00,"Everyone in support of ""opening up"", should have to sign a waiver refusing any medical assistance if they contract the #coronavirus #SignTheWaiver #Darwinism"
skift,2020-04-20 23:59:59+00:00,The Most Tourism-Dependent Region in the World Braces for Prolonged Coronavirus Recovery 
MischievousJ210,2020-04-20 23:59:59+00:00,"""When you mix privilege, ignorance and stupidity, you create a cocktail that's more dangerous to the public than the coronavirus,” said another. #quarantinequotes"
jagatfx,2020-04-20 23:59:59+00:00,"UCSF researchers test for novel coronavirus all 1,680 residents in Bolinas, California, a wealthy beach town in Marin County, near Silicon Valley "
MargotSaville,2020-04-20 23:59:59+00:00,@SMM_Aus Coronavirus: How cities can adapt to Covid-19 - Vox 
animals_4_ever,2020-04-20 23:59:59+00:00,Coronavirus: WHO warns 'the worst is yet ahead of us' in outbreak #Coronavirus 
FernanFraustro1,2020-04-20 23:59:58+00:00,"Comes to my mind, that all military spen ding in the World, and all Personnel, shall be redirected to the Sanitary División, even while, until and after the Coronavirus is resolved.. This in all countries of the World, and if you dont like it, INVASIÓN.... PERIOD. Mr. SALVATORE. "
qatarday,2020-04-20 23:59:58+00:00,"COVID-19 cases in #SaudiArabia surpass 10,000 #Coronavirus #COVID19 #CoronaVirusUpdates #CoronavirusOutbreak https://www.qatarday.com/coronavirus/international/covid-19-cases-in-saudi-arabia-surpass-10000/72089"
sinz54,2020-04-20 23:59:58+00:00,"Let's see, we import what, about $700 billion worth of stuff from China, and the coronavirus (also from China) crashed a $15 trillion US economy (plus other countries' economies). That sounds like there was actually a 2,000% markup on that ""cheap stuff."""
ManjoorPoet,2020-04-20 23:59:57+00:00,"COVID-19: Indian-American doctors emerge real life heroes, now make ultimate sacrifice According to the US Center for Disease Control and Prevention, Asian American are least impacted by coronavirus among various ethnic groups. "
BohemianHarlem,2020-04-20 23:59:57+00:00,𝐍𝐄𝐖 𝐒𝐀𝐋𝐄 𝐄𝐍𝐓𝐄𝐑 𝐏𝐑𝐎𝐌𝐎 𝐂𝐎𝐃𝐄 𝐒𝐓𝐎𝐏𝐂𝐎𝐑𝐎𝐍𝐀 𝐅𝐎𝐑 𝟐𝟓% 𝐎𝐅𝐅 𝐀𝐋𝐋 𝐓𝐄𝐄𝐒 #streetwearclothing #clothingstore #clothing #coronavirus #mensclothing #clothingbrands #covid_19 #heroes #stimuluscheck #quarentine #viral #clothingline #explorepage #fbf
ariane321,2020-04-20 23:59:56+00:00,Long road ahead #ny1pic #coronavirus #NYStrong @NY1 @nycgo @ThePhotoHour @StormHour
ThotPolitics,2020-04-20 23:59:56+00:00,Sara Gideon between these two though I guess
merlinswigart,2020-04-20 23:59:56+00:00,Sources believe coronavirus outbreak originated in Wuhan lab as part of China's efforts to compete with US https://fxn.ws/2VwOEGz #FoxNews
LeoDube,2020-04-20 23:59:56+00:00,"#OnFireForJustice When asked about pardons at the coronavirus task force briefing, Trump responded: ""You will find out."" "
pinkboots2,2020-04-20 23:59:55+00:00,Dr. Fauci urges caution about relying on coronavirus antibody tests https://nypost.com/2020/04/20/facui-urges-caution-about-relying-on-coronavirus-antibody-tests/?utm_source=twitter_sitebuttons&amp;utm_medium=site%20buttons&amp;utm_campaign=site%20buttons via @nypost
