user,created_at,text
LisaMic57621304,2020-03-30 23:59:59+00:00,"Model cited by White House says 82,000 people could die from coronavirus by August, even with social distancing "
MrT07576687,2020-03-30 23:59:59+00:00,Israeli PM Netanyahu self-isolating after aide tests positive for coronavirus — RT World News 
enfanjopa,2020-03-30 23:59:59+00:00,"God, help us! This is the point of no return for intervention to prevent Florida's hospital system from being overloaded by Coronavirus: https://covidactnow.org/state/FL #COVIDActNow"
StephenHargis,2020-03-30 23:59:59+00:00,"As with all coronavirus stories on our website, this is a free read... "
straight_100,2020-03-30 23:59:59+00:00,You will always be the coronavirus poster child.
scstriebeck,2020-03-30 23:59:58+00:00,The real cure for coronavirus: Private research and innovation offer promising new leads. https://www.wsj.com/articles/the-real-cure-for-coronavirus-11585516011 via @WSJ Let the #markets work. #Ancap #justice @CNN @FoxNews #covid19 #coronavirus @US_FDA
MtLill,2020-03-30 23:59:58+00:00,I'm assuming Animal Crossing and not some kind of Coronavirus mutation that I DEFINITELY missed the memo on.
ohiomary,2020-03-30 23:59:58+00:00,"11 to 100,000: What went wrong with coronavirus testing in the U.S. "
General33626833,2020-03-30 23:59:58+00:00,Italian doctors demand protective supplies as #CoronaVirus deaths...At least 50 doctors have died from COVID-19 while trying to help the sick in Italy 
robertpaulreyes,2020-03-30 23:59:58+00:00,#Trump's disgusting #coronavirus bill signing photo op! https://robertpaulreyes.com/trumps-disgusting-coronavirus-bill-photo-op/
NewshubSport,2020-03-30 23:59:58+00:00,Aston Villa's Jack Grealish apologises for breaking UK coronavirus lockdown https://bit.ly/3dGvK8t
moniemon84,2020-03-30 23:59:58+00:00,"I hear they’re changing up their factories to start producing masks. What are you doing in a time of coronavirus, other than bitching about others on twitter? "
crane_leland,2020-03-30 23:59:58+00:00,"If the R0 of coronavirus is 2, then you would need half the population to experience infection before herd immunity would kill it. That is more than one million dead."
Susan78English,2020-03-30 23:59:57+00:00,"Analysis: As coronavirus death toll rises, Trump gives CEOs a star turn https://www.nbcnews.com/politics/white-house/coronavirus-death-toll-rises-trump-gives-ceos-star-turn-n1172571 via @nbcnews"
RoyEacups,2020-03-30 23:59:57+00:00,5g non essential workforce out and about installing 5g configuration. (during the coronavirus pandemic) Oxford UK. 
BAWalker4,2020-03-30 23:59:57+00:00,Trump's message to blue states battling coronavirus: Drop dead #SmartNews
Scott__NovakCFA,2020-03-30 23:59:57+00:00,What if masks are essential for allowing people to be in public without Coronavirus running wild- lots of things are possible if they are necessary.
SNawkri,2020-03-30 23:59:56+00:00,"227 New Coronavirus Cases In India, Sharpest Spike In A Single Day "
YQool,2020-03-30 23:59:56+00:00,"Alcohol kills Corona Virus 100%, Davido surname is Alcohol. Simple stuff."
act_nowclimate,2020-03-30 23:59:56+00:00,'Always blow on the pie' cop's coronavirus safety message 
