user,created_at,text
MonaIbrahim,2020-02-28 23:59:57+00:00,"For everyone comparing COVID-19 to the flu, just a reminder that even with vaccines the flu kills tens of thousands a year. Now imagine a more deadly virus with no vaccine or assurance that any vaccine developed will be affordable and hi! Welcome to the pandemic!"
EekiSpyykes,2020-02-28 23:59:55+00:00,"@rushlimbaugh Rush ,you deserve your cancer like a siamese twin .'What the democrats want is people to die"" is for Democrats to announce. Democrats will talk for themselves; prissy lil gab. Annouce conservative's response to Covid 19. Do you. -Michael Bench, Physiologist."
MJPrecopio,2020-02-28 23:59:53+00:00,#Coronavirus COVID-19 (2019-nCoV) interactive map https://www.arcgis.com/apps/opsdashboard/index.html#/bda7594740fd40299423467b48e9ecf6
MeandBailey,2020-02-28 23:59:51+00:00,Now that you said that - it's kind of like posting local news or any local news that doesn't have to do with COVID-19 or the D primaries.
ryanfiredragon,2020-02-28 23:59:44+00:00,"Chinese scientists desperately researching coronavirus discover that it shares human cell binding site with HIV, Ebola #coronavirus #2019nCoV #COVID19 #SARSCoV2 http://rt.com/news/481837-coronavirus-research-cell-binding-hiv/amp/"
CSSS_hcde,2020-02-28 23:59:42+00:00,TEA Press Release: Novel Coronavirus (COVID-19)... Good Information 
4eaglesfreedom,2020-02-28 23:59:40+00:00,He’s in age group more affected by covid19. He’ll be fine. He’s the last pope. ( prob by his behavior)
CachetMarie,2020-02-28 23:59:38+00:00,"""The study found that kidney dysfunction occurs in 3 to 10 percent of novel coronavirus (COVID-19) infection. In addition, acute damage to the kidneys occurs in seven percent of patients."" "
Dcl_60,2020-02-28 23:59:37+00:00,Oh man! North Korea's first confirmed Coronavirus COVID 19 patient shot dead: report https://www.ibtimes.sg/A000APq via @IBTimesSG
AngieMdeC,2020-02-28 23:59:34+00:00,How is the global economy going? How can @jkenney rebound AB when whole Canada is a disaster? he can hire LOTS of unnecessary public employees with your taxes like Trudeau &amp;Notley did. How Trudeau will manage now with this unexpected covid-19 crisis with Unbalanced budget?
crossroads52,2020-02-28 23:59:33+00:00,I can’t watch it. Says content not available are they suppressing information.
PubTrend,2020-02-28 23:59:32+00:00,Trending on PubMed: Novel coronavirus COVID-19: an overview for emergency clinicians https://www.ncbi.nlm.nih.gov/pubmed/32105049
marceyplay,2020-02-28 23:59:32+00:00,"The percentage of people who get Flu to those who die from Flu is .0001% . covid19 is 2%. Meaning, allot more likely you would die from corvid19 than the flu. If you were to contract it."
micahstubbs,2020-02-28 23:59:32+00:00,first photo I've seen of an actual test kit #coronavirus #nCoV2019 #COVID19 
SMTeas,2020-02-28 23:59:31+00:00,"SENTEAMENTAL MOODS & THE CORONAVIRUS (COVID-19) In response to concerns about the Coronavirus spread from China, we would like to share a statement regarding our tea products. We believe that drinking tea,… https://www.instagram.com/p/B9IT8PwhFZL/?igshid=1foewb9t6tjk2"
bintelharam,2020-02-28 23:59:30+00:00,you imposed those sanctions preventing iran from getting those medical supplies to battle COVID-19 you scumbag. 
HannahNamMD,2020-02-28 23:59:29+00:00, Negative testing may occur early when the patient is asymptomatic. Consider retesting if patient develops symptoms. Persons who returned from high risk areas or been exposed to a patient with confirmed or suspected COVID-19 within 14 days should not be accepted as a donor.
4EveKatniss,2020-02-28 23:59:26+00:00,"In other news...Medical teams come marching in Hazmat Suits, for “possible” Covid-19 patients. Department of Homeland Security stated, “There are not enough face masks, for the American people.” Of course the “reliable” sources would state such a claim. "
Laurie_Garrett,2020-02-28 23:59:23+00:00,"The @NPR show ""On The Media"" just dropped -- it's about Black Swans and the media --- how reporters are covering #COVID19 and stock market plummet, fears and uncertainties. "
V2019N,2020-02-28 23:59:21+00:00,"there are a host of people ""in the know"" when there is a positive case. some of those people will share info with reporters. public health needs to be transparent or their hand will be forced by free press."
Sahand_blk,2020-02-28 23:59:20+00:00,"Every body Say HELLO To new antichrist,(COVID 19)"
philwoodford,2020-02-28 23:59:17+00:00,What looks like early-stage community transmission of #covid19 in California. 
Christo64901522,2020-02-28 23:59:17+00:00,One-month-old baby of COVID-19 patient remains healthy https://youtu.be/kDJtqBWE3Nc
bladerunner3049,2020-02-28 23:59:16+00:00,forget the kits .. quicker is clinical radiologic studies .. #nCOV #coronavirus #covid19 .. radiologic studies have quicker turn around.
DrHasanjamal,2020-02-28 23:59:14+00:00,Short animated clip by World Health Organization to learn more about COVID-19 and how to protect yourself against it. @WHO #Coronavid19 #coronavirus #COVID2019
TruthFreedom17,2020-02-28 23:59:12+00:00,4) Wear a mask only if you have respiratory symptoms. Facemasks should be used by people who show respiratory symptoms to help prevent the spread of the disease to others. The CDC does not recommend that people who are well wear a facemask to protect themselves from COVID-19.
DrLPsychProf,2020-02-28 23:59:11+00:00,The Whole Thread #covid19 
