user,created_at,text
qu_pos,2020-03-30 23:59:59+00:00,"#NationalDoctorsDay couldn't come at a better time to unite and recognize the incredible health care community. We know you’re putting in long hours, missing quality family time, and scrounging for supplies to fight #COVID19, and we thank you from the bottom of our hearts. "
GoReactforASL,2020-03-30 23:59:59+00:00,Health Workers Study #SignLanguage to Care for #Deaf COVID-19 Patients 
mclark1951,2020-03-30 23:59:59+00:00,Watch Freshman Dem Rep's COVID-19 Speech Devolve Into Unhinged Rant on House Floor 
NAT_ACCORD,2020-03-30 23:59:59+00:00,COVID-19 Update: Nigeria records 20 new cases as toll rises to 131 https://nationalaccordnewspaper.com/covid-19-update-nigeria-records-20-new-cases-as-toll-rises-to-131/
IburgHerold,2020-03-30 23:59:59+00:00,"#Covid_19 #COVID19 #GretaThunberg 's #VisionOfFuture for Earth. #FridaysForFuture #FridaysForHubraum All at home, no traveling, tons of toilet paper, no flights, no vacation, latrine, no internet. Welcome to #GretaLand"
mitchryals,2020-03-30 23:59:59+00:00,"DC announces 94 new positive cases of COVID-19, ranging in age from 9 to 93 years old, for a total of 495 people. No new deaths reported, according to @MayorBowser's news release this evening."
ArcStoneforNP,2020-03-30 23:59:59+00:00,When it comes to COVID 19- how do communicators help their organizations respond to the global health crisis? 
banalchemy,2020-03-30 23:59:59+00:00,#CNN stands for: Communist News Network #ChineseVirus #COVID19 #CommunistChina https://twitter.com/RealJamesWoods/status/1244740142079725569
CityHick92,2020-03-30 23:59:59+00:00,"Roses are Red, Violets are Blue Social Distancing is Scary But You Gotta Back It Up Put It In Reverse Terry #Covid19 #Bored #Quarantined"
openletterbot,2020-03-30 23:59:58+00:00," Support Donna by signing “Why You Must Act Now” and I’ll deliver a copy to your officials too: https://twitter.com/messages/compose?recipient_id=835740314006511618&amp;text=Covid%20Act Last delivered to @GovAbbott, Representative Hinojosa and Senator Watson #TXpolitics #COVID19 "
tksinclair,2020-03-30 23:59:58+00:00,Another doctor. New York neurosurgeon who separated conjoined twins dies from complications of Covid-19 - CNN 
LiziKernNews,2020-03-30 23:59:58+00:00,COVID 19 Peak in the Central Valley and United States is Still To Come. @KMJNOW
scstriebeck,2020-03-30 23:59:58+00:00,The real cure for coronavirus: Private research and innovation offer promising new leads. https://www.wsj.com/articles/the-real-cure-for-coronavirus-11585516011 via @WSJ Let the #markets work. #Ancap #justice @CNN @FoxNews #covid19 #coronavirus @US_FDA
ChicagoScience,2020-03-30 23:59:58+00:00,"How did PwC build a zip code level COVID19 model that takes age health status and icu capacity into account, along with mitigation measures? Don’t ask me! Listen to Sierra Hawthorne: "
televisionjam,2020-03-30 23:59:58+00:00,One patient released from isolation after recovering from COVID-19. #JACOVID19
General33626833,2020-03-30 23:59:58+00:00,Italian doctors demand protective supplies as #CoronaVirus deaths...At least 50 doctors have died from COVID-19 while trying to help the sick in Italy 
mcristian314,2020-03-30 23:59:58+00:00,"Aye, anyone have this covid-19 address, i just wanna talk "
openletterbot,2020-03-30 23:59:58+00:00," Support Kaylee by signing “Why You Must Act Now” and I’ll deliver a copy to your officials too: https://twitter.com/messages/compose?recipient_id=835740314006511618&amp;text=Covid%20Act Last delivered to @GovAbbott, Representative Stucky and Senator Fallon #TXpolitics #COVID19 "
pop_popculture,2020-03-30 23:59:57+00:00,holy shit @mta #covid19 RIP 
Debevoise,2020-03-30 23:59:57+00:00,Our M&A team asks: what’s the best way to negotiate agreements in this environment when no one can really know the full extent of the risk that COVID-19 represents? Here’s a few options. 
openletterbot,2020-03-30 23:59:56+00:00," Support Guadalupe by signing “Why You Must Act Now” and I’ll deliver a copy to your officials too: https://twitter.com/messages/compose?recipient_id=835740314006511618&amp;text=Covid%20Act Last delivered to @GovAbbott, Representative Gervin-Hawkins and Senator Menéndez #TXpolitics #COVID19 "
MROLDSCHOOL76,2020-03-30 23:59:56+00:00,1 thing 4sure everyone have in common right now>apart of history banning of big gatherings&gt;bars closed&gt;sporting events &amp; concerts cancelled&gt;casinos shut down&gt;A record 3.3 million Americans filed for unemployment benf as of today&gt; people dying by the thousands due to covid19
LiliVasileff,2020-03-30 23:59:56+00:00,Social Media with the Rapidly Spreading COVID-19 Read more at http://bit.ly/RapidlySpreadingCOVID-19 #lilivasileff #wealthprotectionmanagement
McgrottyJock,2020-03-30 23:59:56+00:00,The article from National Geographic is well worth reading in the context of COVID19. We would have been in a better position had the government acted sooner. Relying on ‘herd immunity’ was folly. Lessons from history were ignored. 
MattFromSMM,2020-03-30 23:59:56+00:00,Only good reason is that HCW’s are top priority and there aren’t enough. The other reasoning is silly and just shows WHO think people are dumb. It’s like telling someone not to wear a helmet cause they might not wear it properly and get a false sense of security. #COVID19 
hodgsonkr,2020-03-30 23:59:55+00:00,"How COVID-19 may change the way we look at pollution, climate change, e-commerce, restaurants, working remotely, our governments and our people by great London-based Canadian journalist @GwynneDyer."
ctvregina,2020-03-30 23:59:55+00:00,How a sidewalk artist is lifting spirits during physical distancing - https://regina.ctvnews.ca/how-a-sidewalk-artist-is-lifting-spirits-during-physical-distancing-1.4875064 #Sask #sk #yqr #COVID19 
drmakuni,2020-03-30 23:59:55+00:00,I must say: Merits where it’s due. I reckon this Job-Keeper package is one of the greatest initiatives an Australian government has implemented. It’s a beacon of light in so much darkness for so many #coronavirus #ScoMo #Covid_19 #auspol2020 #ausDiaries
stayhomesearch,2020-03-30 23:59:55+00:00,Coronavirus (#COVID19 ) Strikes #Airbnb Hosts: http://www.stayhomesearch.com/2020/03/30/coronavirus-covid-19-strikes-airbnb-hosts/
pgdailynews,2020-03-30 23:59:55+00:00,"Adrian Dix, Minister of Health, and Dr. Bonnie Henry, B.C.'s provincial health officer, have issued the following joint statement regarding updates on the novel coronavirus (COVID-19) response in British Columbia: #Coronavirus #cityofpg #northernbc http://pgdailynews.ca/index.php/2020/03/30/covid-19-eighty-six-new-cases-in-b-c-over-past-two-days-northern-health-area-now-has-14-cases/"
MarjiJSherman,2020-03-30 23:59:55+00:00,They look great! What a smart idea. I recently switched to gel manicure stickers. I'd love for you to share your perspective on life during #COVID19 on http://mycovidstory.org/submit.
robertupekk,2020-03-30 23:59:55+00:00,Positive covid-19
mjimen003,2020-03-30 23:59:54+00:00,@GovMurphy #COVID19 Good day sir out of the 72 hospitals why don't you guys used 60 and the other 12 for people that don't have coved19 to be able to go knowing they won't get sick of this I a few underline condición and I am afraid to go to any hospital if I get a asthma attack
BMBlammer,2020-03-30 23:59:54+00:00,7 niggas in Rialto already tested positive for COVID-19…yeah catch me outside next year 
markmattat,2020-03-30 23:59:54+00:00,"So if a person has the flu and other medical issues along with covid19, how are they reporting the cause of death? Died ""with"" covid19 or died ""of"" covid19? Also is the media ""accidentally"" changing ""with"" to ""of"" when reporting on the deaths?"
TusonWalters,2020-03-30 23:59:54+00:00,Since #Covid19 tore through Italy....I couldn't help but think DEEPLY about a former professor and friend. I messaged him via. IG. He responded to say he and his family are doing well. I was and still am excites to hear that.
mannyt_03,2020-03-30 23:59:53+00:00,Requested fed loan covid-19 forbearance on their website...for those with federal loans don’t forget to do this. 
salmirage,2020-03-30 23:59:53+00:00,There's now a 24hr channel that displays almost live stats on #covid19. USA has just passed France in number of deaths and will likely pass China within 12hrs. Some states/cities still don't have #StayAtHome orders!! #CoronaUpdates #CoronavirusOutbreak #
kal4554,2020-03-30 23:59:53+00:00,https://youtu.be/PUHrck2g7Ic Special message from Africa regarding prevention against #COVID-19
JakofAllTirades,2020-03-30 23:59:53+00:00,A president is supposed to force a company to make masks when others are volunteering? Are you high? #whosafacistnow #Coronavirustruth #DPA #COVID19 #coronavirus #ChinaLiedPeopleDied #ChinaVirus
imsooochi,2020-03-30 23:59:53+00:00,#AmazonStrike I’m an #AmazonPrime member and I am NOT spending another dime with #Amazon Until this #COVID19 is over. @JeffBezos is worth over $120 BILLION DOLLARS! He doesn’t need my money.
openletterbot,2020-03-30 23:59:53+00:00," Support Jared by signing “Why You Must Act Now” and I’ll deliver a copy to your officials too: https://twitter.com/messages/compose?recipient_id=835740314006511618&amp;text=Covid%20Act Last delivered to @GovParsonMO, Representative Roberts and Senator May #MOpolitics #COVID19 "
HellBoundReaper,2020-03-30 23:59:53+00:00,"I bet they never told you that Covid-19 is a disease from a virus called SARS-CoV-2..they keep calling it coronavirus or Covid-19, like AIDS is to HIV. They screamed AIDS AIDS AIDS..said it was a virus. lol"
schmarzo,2020-03-30 23:59:52+00:00,"Since the #COVID19 shelter-in-home mandate, the streets have gotten busier but are starting to look a little different... "
gvanantwerp,2020-03-30 23:59:52+00:00,Good article - Relax Pharmacy Regulations to help with COVID-19 Testing and Treatment https://www.mercatus.org/publications/covid-19-policy-brief-series/relax-pharmacy-regulations-help-covid-19-testing-and #FutureOfPharmacy #Rx
